iter	Passed	Remaining
354	133366	3623444
355	133715	3622332
356	134065	3621258
357	134416	3620221
358	134770	3619271
359	135123	3618305
360	135490	3617709
361	135845	3616801
362	136182	3615401
363	136547	3614770
364	136906	3613964
365	137248	3612698
366	137588	3611424
367	137932	3610220
368	138303	3609759
369	138663	3609008
370	139007	3607824
371	139360	3606876
372	139709	3605859
373	140076	3605285
374	140434	3604474
375	140801	3603921
376	141167	3603321
377	141523	3602488
378	141879	3601650
379	142214	3600282
380	142586	3599850
381	142971	3599744
382	143328	3598940
383	143698	3598455
384	144056	3597680
385	144412	3596854
386	144782	3596378
387	145140	3595587
388	145560	3596356
389	145933	3595959
390	146291	3595179
391	146650	3594435
392	147024	3594066
393	147389	3593471
394	147740	3592531
395	148089	3591541
396	148441	3590639
397	148823	3590456
398	149181	3589708
399	149535	3588863
400	149897	3588204
401	150244	3587183
402	150591	3586181
403	150959	3585656
404	151327	3585148
405	151672	3584096
406	152029	3583350
407	152411	3583159
408	152783	3582757
409	153169	3582667
410	153549	3582440
411	153927	3582169
412	154290	3581546
413	154658	3581050
414	155008	3580147
415	155349	3579007
416	155702	3578174
417	156067	3577605
418	156422	3576803
419	156773	3575922
420	157125	3575079
421	157485	3574396
422	157834	3573487
423	158174	3572360
424	158545	3571925
425	158898	3571107
426	159249	3570247
427	159599	3569351
428	159937	3568204
429	160279	3567153
430	160634	3566385
431	160996	3565775
432	161359	3565194
433	161709	3564305
434	162058	3563418
435	162422	3562859
436	162772	3561999
437	163145	3561646
438	163491	3560688
439	163843	3559867
440	164217	3559525
441	164591	3559204
442	164943	3558395
443	165307	3557831
444	165671	3557273
445	166021	3556433
446	166371	3555576
447	166741	3555169
448	167106	3554649
449	167496	3554645
450	167850	3553892
451	168203	3553103
452	168572	3552671
453	168928	3551959
454	169287	3551326
455	169649	3550724
456	170007	3550070
457	170342	3548920
458	170737	3549028
459	171081	3548088
460	171470	3548073
461	171833	3547503
462	172186	3546748
463	172550	3546216
464	172925	3545901
465	173269	3544959
466	173629	3544356
467	173987	3543696
468	174358	3543309
469	174707	3542464
470	175072	3541958
471	175446	3541636
472	175807	3541042
473	176176	3540629
474	176523	3539758
475	176874	3538968
476	177245	3538593
477	177596	3537816
478	177944	3536978
479	178317	3536633
480	178671	3535917
481	179016	3535010
482	179364	3534185
483	179699	3533109
484	180059	3532513
485	180410	3531739
486	180774	3531234
487	181136	3530669
488	181512	3530391
489	181843	3529256
490	182200	3528605
491	182576	3528319
492	182930	3527618
493	183285	3526943
494	183655	3526548
495	184001	3525708
496	184357	3525049
497	184713	3524384
498	185064	3523637
499	185414	3522881
500	185780	3522415
501	186143	3521896
502	186499	3521240
503	186855	3520602
504	187197	3519684
505	187567	3519304
506	187941	3518987
507	188308	3518560
508	188669	3517991
509	189025	3517350
510	189400	3517065
511	189752	3516345
512	190115	3515848
513	190478	3515336
514	190858	3515125
515	191216	3514533
516	191594	3514302
517	191938	3513436
518	192298	3512874
519	192664	3512425
520	193037	3512087
521	193399	3511562
522	193744	3510731
523	194120	3510464
524	194493	3510139
525	194850	3509539
526	195237	3509460
527	195608	3509106
528	195964	3508464
529	196307	3507613
530	196646	3506678
531	197005	3506096
532	197374	3505710
533	197728	3505045
534	198083	3504413
535	198475	3504419
536	198838	3503934
537	199194	3503296
538	199551	3502706
539	199908	3502108
540	200278	3501728
541	200658	3501531
542	201008	3500812
543	201373	3500343
544	201733	3499794
545	202099	3499351
546	202458	3498792
547	202822	3498323
548	203182	3497768
549	203553	3497420
550	203909	3496814
551	204280	3496448
552	204676	3496521
553	205059	3496377
554	205408	3495641
555	205765	3495048
556	206123	3494474
557	206503	3494270
558	206867	3493799
559	207228	3493285
560	207571	3492448
561	207936	3492001
562	208326	3491962
563	208674	3491227
564	209028	3490586
565	209399	3490245
566	209753	3489607
567	210133	3489391
568	210508	3489116
569	210871	3488633
570	211229	3488064
571	211611	3487896
572	211978	3487473
573	212351	3487146
574	212693	3486327
575	213074	3486138
576	213436	3485638
577	213789	3484991
578	214143	3484368
579	214515	3484025
580	214879	3483560
581	215243	3483099
582	215599	3482502
583	215941	3481684
584	216312	3481334
585	216668	3480740
586	217038	3480388
587	217406	3479982
588	217762	3479389
589	218118	3478806
590	218494	3478541
591	218842	3477818
592	219217	3477530
593	219568	3476866
594	219944	3476600
595	220305	3476100
596	220695	3476045
597	221046	3475382
598	221411	3474945
599	221766	3474345
600	222137	3473986
601	222511	3473693
602	222879	3473297
603	223246	3472879
604	223602	3472304
605	223958	3471724
606	224348	3471671
607	224704	3471090
608	225057	3470471
609	225434	3470215
610	225788	3469608
611	226161	3469290
612	226527	3468869
613	226884	3468309
614	227253	3467925
615	227611	3467379
616	227970	3466850
617	228331	3466352
618	228692	3465862
619	229061	3465479
620	229435	3465171
621	229794	3464650
622	230163	3464274
623	230508	3463542
624	230864	3462974
625	231240	3462700
626	231587	3461994
627	231968	3461795
628	232317	3461125
629	232683	3460701
630	233060	3460451
631	233416	3459876
632	233787	3459542
633	234160	3459221
634	234521	3458731
635	234871	3458069
636	235241	3457718
637	235595	3457131
638	235961	3456708
639	236329	3456318
640	236704	3456026
641	237058	3455448
642	237406	3454764
643	237755	3454093
644	238138	3453933
645	238488	3453288
646	238847	3452769
647	239212	3452339
648	239580	3451958
649	239962	3451769
650	240328	3451351
651	240683	3450782
652	241042	3450263
653	241396	3449678
654	241751	3449115
655	242120	3448733
656	242489	3448366
657	242829	3447592
658	243180	3446958
659	243544	3446521
660	243918	3446230
661	244299	3446025
662	244681	3445841
663	245075	3445825
664	245429	3445242
665	245809	3445029
666	246165	3444471
667	246526	3443992
668	246891	3443571
669	247235	3442839
670	247594	3442344
671	247955	3441862
672	248310	3441293
673	248661	3440682
674	249017	3440131
675	249381	3439692
676	249739	3439175
677	250108	3438811
678	250477	3438439
679	250834	3437914
680	251190	3437369
681	251555	3436944
682	251920	3436520
683	252287	3436124
684	252655	3435742
685	253010	3435189
686	253427	3435472
687	253785	3434951
688	254128	3434234
689	254509	3434027
690	254865	3433490
691	255221	3432954
692	255573	3432353
693	255932	3431859
694	256321	3431762
695	256687	3431355
696	257059	3431025
697	257417	3430509
698	257812	3430495
699	258158	3429816
700	258531	3429504
701	258912	3429298
702	259253	3428565
703	259609	3428024
704	259951	3427303
705	260308	3426783
706	260654	3426117
707	261010	3425583
708	261377	3425181
709	261744	3424796
710	262110	3424395
711	262471	3423932
712	262852	3423713
713	263210	3423210
714	263572	3422757
715	263934	3422300
716	264281	3421650
717	264685	3421741
718	265064	3421509
719	265449	3421348
720	265841	3421284
721	266214	3420969
722	266575	3420505
723	266927	3419918
724	267304	3419650
725	267702	3419665
726	268053	3419069
727	268448	3419033
728	268839	3418945
729	269209	3418590
730	269557	3417959
731	269922	3417544
732	270289	3417148
733	270685	3417121
734	271033	3416502
735	271397	3416064
736	271751	3415513
737	272165	3415719
738	272529	3415280
739	272902	3414965
740	273277	3414674
741	273677	3414702
742	274063	3414542
743	274461	3414538
744	274855	3414476
745	275225	3414119
746	275576	3413533
747	275925	3412918
748	276305	3412691
749	276673	3412305
750	277093	3412564
751	277465	3412230
752	277842	3411965
753	278199	3411447
754	278550	3410862
755	278922	3410531
756	279292	3410175
757	279660	3409790
758	280046	3409634
759	280409	3409186
760	280769	3408708
761	281116	3408072
762	281461	3407417
763	281828	3407027
764	282192	3406599
765	282560	3406217
766	282932	3405891
767	283293	3405428
768	283639	3404785
769	283999	3404305
770	284377	3404047
771	284725	3403434
772	285104	3403186
773	285476	3402846
774	285842	3402451
775	286218	3402167
776	286595	3401890
777	286941	3401252
778	287323	3401034
779	287693	3400680
780	288068	3400389
781	288432	3399965
782	288819	3399802
783	289193	3399493
784	289591	3399473
785	289951	3398995
786	290295	3398333
787	290652	3397828
788	291026	3397522
789	291382	3397009
790	291744	3396552
791	292108	3396129
792	292474	3395733
793	292824	3395139
794	293195	3394796
795	293555	3394322
796	293933	3394060
797	294295	3393619
798	294653	3393130
799	295034	3392898
800	295395	3392441
801	295774	3392185
802	296139	3391774
803	296505	3391376
804	296870	3390965
805	297253	3390753
806	297624	3390415
807	298030	3390462
808	298394	3390046
809	298742	3389431
810	299099	3388937
811	299484	3388753
812	299836	3388194
813	300199	3387750
814	300559	3387289
815	300927	3386904
816	301282	3386382
817	301658	3386093
818	302029	3385750
819	302423	3385671
820	302798	3385370
821	303163	3384951
822	303538	3384654
823	303919	3384419
824	304282	3383993
825	304682	3383967
826	305038	3383455
827	305424	3383279
828	305793	3382908
829	306172	3382655
830	306515	3382001
831	306904	3381848
832	307259	3381327
833	307628	3380961
834	307986	3380478
835	308343	3379974
836	308713	3379623
837	309078	3379206
838	309428	3378634
839	309785	3378135
840	310157	3377800
841	310533	3377512
842	310905	3377180
843	311258	3376639
844	311617	3376158
845	311972	3375649
846	312329	3375151
847	312699	3374797
848	313049	3374228
849	313430	3373990
850	313794	3373566
851	314144	3372997
852	314538	3372897
853	314917	3372637
854	315253	3371924
855	315608	3371404
856	315967	3370932
857	316323	3370429
858	316725	3370412
859	317088	3369989
860	317463	3369683
861	317835	3369355
862	318223	3369184
863	318597	3368877
864	318967	3368519
865	319336	3368155
866	319698	3367713
867	320055	3367222
868	320417	3366782
869	320790	3366459
870	321153	3366030
871	321567	3366135
872	321943	3365840
873	322287	3365209
874	322681	3365109
875	323064	3364885
876	323446	3364651
877	323842	3364573
878	324214	3364227
879	324563	3363656
880	324937	3363343
881	325308	3362993
882	325671	3362565
883	326046	3362257
884	326462	3362374
885	326853	3362239
886	327221	3361862
887	327567	3361256
888	327948	3361014
889	328330	3360779
890	328711	3360533
891	329102	3360391
892	329485	3360160
893	329842	3359667
894	330202	3359215
895	330587	3359000
896	330941	3358486
897	331329	3358309
898	331701	3357974
899	332053	3357425
900	332442	3357268
901	332794	3356727
902	333167	3356399
903	333505	3355717
904	333876	3355362
905	334252	3355069
906	334620	3354691
907	334974	3354174
908	335353	3353908
909	335712	3353433
910	336061	3352868
911	336432	3352524
912	336779	3351929
913	337144	3351530
914	337506	3351084
915	337869	3350666
916	338241	3350322
917	338617	3350024
918	338973	3349534
919	339328	3349025
920	339679	3348478
921	340048	3348112
922	340439	3347962
923	340811	3347621
924	341179	3347251
925	341545	3346849
926	341912	3346468
927	342267	3345961
928	342633	3345563
929	343019	3345363
930	343421	3345312
931	343777	3344821
932	344135	3344351
933	344507	3344012
934	344873	3343613
935	345224	3343070
936	345587	3342642
937	345949	3342206
938	346322	3341885
939	346674	3341349
940	347019	3340753
941	347384	3340350
942	347735	3339813
943	348092	3339325
944	348462	3338967
945	348831	3338607
946	349226	3338488
947	349602	3338183
948	350006	3338154
949	350366	3337703
950	350731	3337296
951	351111	3337032
952	351473	3336602
953	351857	3336377
954	352239	3336130
955	352617	3335849
956	352985	3335476
957	353357	3335136
958	353752	3335009
959	354102	3334464
960	354451	3333910
961	354810	3333443
962	355183	3333116
963	355556	3332787
964	355943	3332591
965	356322	3332313
966	356690	3331940
967	357057	3331551
968	357402	3330960
969	357761	3330498
970	358115	3329992
971	358475	3329548
972	358832	3329068
973	359209	3328769
974	359593	3328544
975	359958	3328144
976	360321	3327717
977	360666	3327128
978	361029	3326711
979	361398	3326338
980	361803	3326308
981	362161	3325836
982	362528	3325448
983	362885	3324973
984	363257	3324635
985	363662	3324599
986	364033	3324245
987	364402	3323877
988	364786	3323650
989	365168	3323400
990	365529	3322960
991	365908	3322683
992	366263	3322189
993	366643	3321922
994	366994	3321394
995	367347	3320878
996	367710	3320455
997	368069	3319997
998	368446	3319707
999	368790	3319110
1000	369155	3318708
1001	369528	3318380
1002	369910	3318126
1003	370265	3317641
1004	370625	3317190
1005	370982	3316716
1006	371332	3316176
1007	371703	3315830
1008	372050	3315270
1009	372411	3314833
1010	372765	3314328
1011	373138	3314000
1012	373502	3313594
1013	373857	3313100
1014	374241	3312865
1015	374635	3312720
1016	375005	3312360
1017	375359	3311869
1018	375703	3311282
1019	376074	3310932
1020	376449	3310614
1021	376818	3310249
1022	377179	3309812
1023	377547	3309442
1024	377921	3309115
1025	378329	3309093
1026	378700	3308744
1027	379076	3308440
1028	379447	3308087
1029	379826	3307806
1030	380177	3307281
1031	380532	3306796
1032	380889	3306323
1033	381252	3305912
1034	381627	3305594
1035	381987	3305152
1036	382410	3305246
1037	382787	3304953
1038	383142	3304465
